r-table__text,movie-rating__financing-source src,fixed-column,r-table__text href,r-table__text 3,r-table__text 4,r-table__text 5,r-table__text 6,r-table__text 7,r-table__text 8,r-table__text 9,r-table__text 10
1,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Чебурашка,https://ekinobilet.fond-kino.ru/films/detail/111036822,"АО ""ВБД Груп""",01.01.2023,-,361 002 855,42.5%,849 631 173,6 787 288 125,22 429 982
2,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Чебурашка 2,https://ekinobilet.fond-kino.ru/films/detail/111048725,"АО ""ВБД ГРУП""",01.01.2026,200 000 000,200 000 000,26.7%,1 499 492 792,6 051 739 319,11 891 381
3,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Холоп 2,https://ekinobilet.fond-kino.ru/films/detail/111036223,"АО ""ВБД ГРУП""",01.01.2024,150 000 000,300 000 000,56.2%,801 041 270,3 842 888 835,9 865 308
4,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Волшебник Изумрудного города. Дорога из жёлтого кирпича,https://ekinobilet.fond-kino.ru/films/detail/111050824,"ООО ""ЦЕНТРАЛ ПАРТНЕРШИП""",01.01.2025,-,630 000 000,64.5%,976 329 889,3 345 528 808,7 218 705
5,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Холоп,https://ekinobilet.fond-kino.ru/films/detail/111021719,"ООО ""МЕМ""",26.12.2019,25 000 000,35 000 000,37.5%,160 000 000,3 082 037 759,11 672 437
6,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Бременские музыканты,https://ekinobilet.fond-kino.ru/films/detail/111037623,"ООО ""СТУДИЯ ""ТРИТЭ"" НИКИТЫ МИХАЛКОВА""",01.01.2024,-,700 000 000,63.6%,1 100 974 480,3 036 173 058,8 446 490
7,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Движение вверх,https://ekinobilet.fond-kino.ru/films/detail/111011817,"ООО ""СТУДИЯ ""ТРИТЭ"" НИКИТЫ МИХАЛКОВА""",28.12.2017,-,400 000 000,67.8%,590 192 191,2 949 677 837,11 929 419
8,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Финист. Первый богатырь,https://ekinobilet.fond-kino.ru/films/detail/111051024,"АО ""ВБД ГРУП""",01.01.2025,-,500 000 000,45.3%,1 102 768 308,2 741 151 910,6 153 163
9,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,По щучьему велению,https://ekinobilet.fond-kino.ru/films/detail/111030623,"ООО ""КИНОКОМПАНИЯ ""СТВ""",26.10.2023,-,350 000 000,53.0%,660 000 000,2 490 714 879,8 648 439
10,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Буратино,https://ekinobilet.fond-kino.ru/films/detail/111048625,"ООО ""ВОДОРОД 2011""",01.01.2026,140 000 000,710 000 000,65.4%,1 300 000 000,2 399 133 303,4 634 677
11,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Мастер и Маргарита,https://ekinobilet.fond-kino.ru/films/detail/111034423,"ООО ""ПРОФИТ""",25.01.2024,-,600 000 000,48.7%,1 233 254 125,2 330 796 150,5 581 453
12,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Т-34,https://ekinobilet.fond-kino.ru/films/detail/111024918,"ООО ""МАРС МЕДИА ЭНТЕРТЕЙНМЕНТ""",01.01.2019,60 000 000,120 000 000,31.9%,563 784 717,2 272 396 132,8 824 639
13,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Последний богатырь: Посланник тьмы,https://ekinobilet.fond-kino.ru/films/detail/111032621,"АО ""ВБД ГРУП""",23.12.2021,100 000 000,-,21.5%,465 154 846,2 204 872 518,7 288 320
14,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Вызов,https://ekinobilet.fond-kino.ru/films/detail/111009023,"ООО ""СТАРТ СТУДИО""",20.04.2023,-,500 000 000,52.8%,946 570 006,2 140 581 588,6 733 045
15,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Последний богатырь: Корень зла,https://ekinobilet.fond-kino.ru/films/detail/111021720,"АО ""ВБД ГРУП""",01.01.2021,100 000 000,100 000 000,32.8%,609 229 989,2 051 278 967,7 159 071
16,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Лёд 3,https://ekinobilet.fond-kino.ru/films/detail/111002024,"ООО ""АРТ ПИКЧЕРС СТУДИЯ""",14.02.2024,-,250 000 000,41.7%,600 000 000,1 856 036 847,5 196 649
17,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Последний богатырь,https://ekinobilet.fond-kino.ru/films/detail/111007017,"АО ""ВБД ГРУП""",19.10.2017,50 000 000,50 000 000,28.4%,352 477 575,1 663 841 925,7 363 668
18,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Пророк. История Александра Пушкина,https://ekinobilet.fond-kino.ru/films/detail/111001825,"ООО ""ЦЕНТРАЛ ПАРТНЕРШИП""",14.02.2025,-,500 000 000,62.5%,799 730 110,1 636 958 571,3 489 979
19,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Август (Момент истины),https://ekinobilet.fond-kino.ru/films/detail/111046325/111037025,"АО ""ДИРЕКЦИЯ КИНО""",25.09.2025,-,600 000 000,69.8%,860 000 000,1 563 488 851,3 596 282
20,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Горыныч,https://ekinobilet.fond-kino.ru/films/detail/111040225,"ООО ""КИНОКОМПАНИЯ ""СТВ""",23.10.2025,-,520 000 000,58.4%,890 000 000,1 537 531 059,4 073 388
21,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Сто лет тому вперёд,https://ekinobilet.fond-kino.ru/films/detail/111010224,"ООО ""ВОДОРОД 2011""",18.04.2024,50 000 000,565 000 000,68.3%,900 000 000,1 532 751 947,4 309 794
22,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Викинг,https://ekinobilet.fond-kino.ru/films/detail/111018416/111018516,"АО ""ДИРЕКЦИЯ КИНО""",29.12.2016,115 000 000,613 000 000,59.4%,1 224 661 889,1 500 537 181,5 665 869
23,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Лёд 2,https://ekinobilet.fond-kino.ru/films/detail/111001220,"ООО ""ВОДОРОД 2011""",14.02.2020,75 000 000,150 000 000,56.3%,400 000 000,1 471 479 967,6 012 452
24,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Лёд,https://ekinobilet.fond-kino.ru/films/detail/111000518,"ООО ""ВОДОРОД 2011""",14.02.2018,25 000 000,60 000 000,57.2%,148 585 222,1 446 694 997,6 052 735
25,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Экипаж,https://ekinobilet.fond-kino.ru/films/detail/111005416,"ООО ""СТУДИЯ ""ТРИТЭ"" НИКИТЫ МИХАЛКОВА""",21.04.2016,50 000 000,392 104 482,69.6%,635 283 867,1 407 382 913,5 001 627
26,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Огниво,https://ekinobilet.fond-kino.ru/films/detail/111041424,"ООО ""КИНОКОМПАНИЯ ""СТВ""",24.10.2024,-,300 000 000,42.3%,710 000 000,1 189 195 593,3 639 209
27,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Конек-Горбунок,https://ekinobilet.fond-kino.ru/films/detail/111001321,"ООО ""КИНОКОМПАНИЯ ""СТВ""",18.02.2021,-,400 000 000,48.7%,821 157 640,1 177 032 141,4 815 109
28,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Кракен,https://ekinobilet.fond-kino.ru/films/detail/111010025,"ООО ""СТУДИЯ ""ТРИТЭ"" НИКИТЫ МИХАЛКОВА""",17.04.2025,-,760 000 000,69.1%,1 100 000 000,1 133 075 353,2 566 271
29,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Летучий корабль,https://ekinobilet.fond-kino.ru/films/detail/111002724,"ООО ""ТПО ""РОК""",21.03.2024,-,425 000 000,55.7%,762 781 818,1 124 163 818,3 776 042
30,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Притяжение,https://ekinobilet.fond-kino.ru/films/detail/111018116,"ООО ""АРТ ПИКЧЕРС СТУДИЯ""",26.01.2017,-,250 000 000,0.0%,Данные не предоставлены правообладателем,1 037 719 020,3 838 253
31,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Руки вверх,https://ekinobilet.fond-kino.ru/films/detail/111041324,"АО ""ВБД ГРУП""",10.10.2024,-,200 000 000,47.5%,421 155 068,968 155 238,2 540 832
32,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Вторжение,https://ekinobilet.fond-kino.ru/films/detail/111022519,"ООО ""АРТ ПИКЧЕРС СТУДИЯ""",01.01.2020,100 000 000,400 000 000,53.0%,944 000 000,963 493 457,3 439 140
33,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Сердце Пармы,https://ekinobilet.fond-kino.ru/films/detail/111025022,"ООО ""ПРОФИТ""",06.10.2022,150 000 000,223 500 000,53.1%,703 286 948,934 713 664,3 102 393
34,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Три богатыря: Ход конем,https://ekinobilet.fond-kino.ru/films/detail/114000714,"ООО ""КИНОКОМПАНИЯ ""СТВ""",01.01.2015,-,76 340 000,61.1%,125 000 000,924 883 707,3 863 340
35,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Папины дочки. Полный метр,https://ekinobilet.fond-kino.ru/films/detail/111041825,"АО ""ВБД ГРУП""",30.10.2025,-,60 000 000,30.0%,200 000 000,915 018 207,2 255 063
36,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Огонь,https://ekinobilet.fond-kino.ru/films/detail/111022220,"ООО ""СТУДИЯ ""ТРИТЭ"" НИКИТЫ МИХАЛКОВА""",24.12.2020,-,400 000 000,66.8%,598 512 479,914 788 771,3 229 425
37,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Ёлки Новые,https://ekinobilet.fond-kino.ru/films/detail/111011617,"ООО ""БАЗЕЛЕВС""",21.12.2017,50 000 000,50 000 000,57.3%,174 381 922,864 675 757,3 381 234
38,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Тренер,https://ekinobilet.fond-kino.ru/films/detail/111003218,"ООО ""СТУДИЯ ""ТРИТЭ"" НИКИТЫ МИХАЛКОВА""",19.04.2018,-,260 000 000,66.6%,390 191 139,821 298 755,3 279 040
39,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Три богатыря и принцесса Египта,https://ekinobilet.fond-kino.ru/films/detail/114003317,"ООО ""КИНОКОМПАНИЯ ""СТВ""",28.12.2017,50 000 000,-,28.7%,174 464 395,773 840 053,3 500 523
40,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Три богатыря и Морской царь,https://ekinobilet.fond-kino.ru/films/detail/114004116,"ООО ""КИНОКОМПАНИЯ ""СТВ""",01.01.2017,-,20 000 000,11.1%,180 404 070,772 387 424,3 520 900
41,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Салют-7,https://ekinobilet.fond-kino.ru/films/detail/111006917,"ООО ""КИНОКОМПАНИЯ ""СТВ""",12.10.2017,-,225 000 000,45.6%,493 733 957,759 742 915,2 990 586
42,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Ёлки 5,https://ekinobilet.fond-kino.ru/films/detail/111018016,"ООО ""БАЗЕЛЕВС""",22.12.2016,-,150 000 000,69.7%,215 162 287,734 009 462,2 926 934
43,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Союз Спасения,https://ekinobilet.fond-kino.ru/films/detail/111022019,"АО ""ДИРЕКЦИЯ КИНО""",26.12.2019,100 000 000,400 000 000,51.0%,980 000 000,719 266 112,2 673 171
44,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Иван Царевич и Серый Волк-3,https://ekinobilet.fond-kino.ru/films/detail/114004115,"ООО ""КИНОКОМПАНИЯ ""СТВ""",01.01.2016,-,40 000 000,22.3%,179 257 987,707 075 773,3 134 074
45,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Ёлки последние,https://ekinobilet.fond-kino.ru/films/detail/111023918,"ООО ""БАЗЕЛЕВС""",27.12.2018,75 000 000,25 000 000,55.6%,179 708 770,702 770 464,2 649 488
46,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Красный шелк,https://ekinobilet.fond-kino.ru/films/detail/111003825,"ООО ""НОТА БЕНЕ ФИЛЬМ ГРУП""",20.02.2025,-,230 000 000,29.3%,785 030 796,688 608 925,1 470 937
47,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Самый лучший день,https://ekinobilet.fond-kino.ru/films/detail/111017815,"ООО ""БАЗЕЛЕВС""",24.12.2015,29 000 000,34 000 000,48.2%,130 619 336,686 411 907,2 639 354
48,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Любовь Советского Союза,https://ekinobilet.fond-kino.ru/films/detail/111045824,"АО ""ДИРЕКЦИЯ КИНО""",07.11.2024,-,300 000 000,66.7%,450 000 000,650 037 656,1 652 773
49,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,В списках не значился,https://ekinobilet.fond-kino.ru/films/detail/111009925,"ООО ""1-2-3 ПРОДАКШН""",01.05.2025,-,400 000 000,36.7%,1 090 706 261,644 363 662,1 523 236
50,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Праведник,https://ekinobilet.fond-kino.ru/films/detail/111002523,"ООО ""ЦЕНТРАЛ ПАРТНЕРШИП""",16.02.2023,-,330 000 000,45.9%,719 000 000,638 556 149,2 170 553
51,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Я худею,https://ekinobilet.fond-kino.ru/films/detail/111001618,"ООО ""ДРУГ ДРУГА""",08.03.2018,-,30 000 000,34.2%,87 649 127,634 074 064,2 521 184
52,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,БАБА ЯГА. СПАСАЕТ МИР (ЯГА 2020),https://ekinobilet.fond-kino.ru/films/detail/111018323,"ООО ""ЛАЙМ СИНЕМА""",03.08.2023,-,40 000 000,66.5%,60 114 217,608 933 478,2 437 872
53,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Легенда о Коловрате,https://ekinobilet.fond-kino.ru/films/detail/111007617,"ООО ""ЦЕНТРАЛ ПАРТНЕРШИП""",30.11.2017,100 000 000,250 000 000,70.0%,500 012 729,593 961 068,2 420 373
54,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Три богатыря и наследница престола,https://ekinobilet.fond-kino.ru/films/detail/114008818,"ООО ""КИНОКОМПАНИЯ ""СТВ""",27.12.2018,115 000 000,-,62.0%,185 500 705,578 725 764,2 613 901
55,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Время первых,https://ekinobilet.fond-kino.ru/films/detail/111001317,"ООО ""БАЗЕЛЕВС""",06.04.2017,75 000 000,175 000 000,47.3%,528 441 977,546 815 456,2 348 598
56,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Поехавшая,https://ekinobilet.fond-kino.ru/films/detail/111005023,"АО ""ВБД ГРУП""",08.03.2023,30 000 000,105 000 000,67.9%,198 958 919,524 426 478,1 739 303
57,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,(Не)идеальный мужчина,https://ekinobilet.fond-kino.ru/films/detail/111023119,"ООО ""НОН-СТОП ПРОДАКШН""",16.01.2020,40 000 000,60 000 000,66.5%,150 464 077,521 766 993,2 174 193
58,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Повелитель ветра,https://ekinobilet.fond-kino.ru/films/detail/111028823,"ООО ""АРТ ПИКЧЕРС СТУДИЯ""",05.10.2023,-,500 000 000,60.7%,823 594 908,521 343 094,1 691 787
59,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Пара из будущего,https://ekinobilet.fond-kino.ru/films/detail/111002221,"ООО ""СТУДИЯ ""ТРИТЭ"" НИКИТЫ МИХАЛКОВА""",04.03.2021,-,125 000 000,50.5%,247 335 256,520 683 874,1 863 993
60,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Матильда,https://ekinobilet.fond-kino.ru/films/detail/111005717,"ООО ""ТПО ""РОК""",26.10.2017,110 000 000,190 000 000,29.0%,1 032 905 957,513 889 310,1 988 182
61,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Пальма - 2,https://ekinobilet.fond-kino.ru/films/detail/111001125,"ООО ""МАРС МЕДИА ЭНТЕРТЕЙНМЕНТ""",20.03.2025,-,225 000 000,67.1%,335 092 250,512 107 771,1 443 232
62,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Лунтик. Возвращение домой,https://ekinobilet.fond-kino.ru/films/detail/114009424,"ООО ""КИНОКОМПАНИЯ ""СТВ""",29.08.2024,-,20 000 000,13.3%,150 000 000,507 507 702,1 719 695
63,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Иван Царевич и Серый Волк-4,https://ekinobilet.fond-kino.ru/films/detail/114005019,"ООО ""КИНОКОМПАНИЯ ""СТВ""",26.12.2019,100 000 000,-,52.6%,190 000 000,502 549 894,2 266 104
64,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Воздух,https://ekinobilet.fond-kino.ru/films/detail/111028523,"ООО ""МЕТРАФИЛЬМС""",18.01.2024,-,405 000 000,66.5%,608 828 598,502 352 969,1 564 928
65,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Серебряные коньки,https://ekinobilet.fond-kino.ru/films/detail/111021020,"ООО ""ЦЕНТРАЛ ПАРТНЕРШИП""",10.12.2020,-,330 000 000,65.9%,500 988 488,481 647 311,1 706 950
66,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Родные,https://ekinobilet.fond-kino.ru/films/detail/111001221,"ООО ""ХАЙП ФИЛЬМ""",11.02.2021,-,50 000 000,31.3%,160 000 000,473 209 050,1 718 384
67,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Батальонъ,https://ekinobilet.fond-kino.ru/films/detail/111000715,"ООО ""КОРНЕР ВОРК""",19.02.2015,-,56 579 055,13.0%,436 437 176,466 191 451,2 003 594
68,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Духless 2,https://ekinobilet.fond-kino.ru/films/detail/111000415,"ООО ""АРТ ПИКЧЕРС СТУДИЯ""",05.03.2015,-,75 000 000,0.0%,Данные не предоставлены правообладателем,458 191 133,1 704 380
69,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Волчок,https://ekinobilet.fond-kino.ru/films/detail/111046225,"ООО ""МЕМ""",04.12.2025,-,285 000 000,46.0%,620 000 000,444 922 170,996 816
70,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Финник,https://ekinobilet.fond-kino.ru/films/detail/114000822,"ООО ""ФОНД ДЕВЕЛОПМЕНТА РИКИ""",24.03.2022,40 000 000,120 000 000,49.2%,325 144 455,442 644 670,1 841 990
71,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Бабушка легкого поведения 2,https://ekinobilet.fond-kino.ru/films/detail/111000519,"ООО ""ВАЙС ФИЛМС""",24.01.2019,-,40 000 000,39.4%,101 463 696,440 272 851,1 833 954
72,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Отель Белград,https://ekinobilet.fond-kino.ru/films/detail/111006420,"ООО ""СТАРТ СТУДИО""",05.03.2020,20 000 000,40 000 000,43.0%,139 455 638,437 829 892,1 698 723
73,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Чемпион мира,https://ekinobilet.fond-kino.ru/films/detail/111032721,"ООО ""СТУДИЯ ""ТРИТЭ"" НИКИТЫ МИХАЛКОВА""",30.12.2021,-,490 000 000,69.9%,700 836 021,422 241 430,1 259 120
74,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Три Богатыря и конь на троне,https://ekinobilet.fond-kino.ru/films/detail/114002621,"ООО ""КИНОКОМПАНИЯ ""СТВ""",30.12.2021,120 000 000,-,67.7%,177 267 050,420 022 014,1 539 327
75,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,8 новых свиданий,https://ekinobilet.fond-kino.ru/films/detail/111014914,"ООО ""ПРОДЮСЕРСКИЙ ЦЕНТР ""ГОРАД""",01.01.2015,-,30 000 000,38.8%,77 401 751,419 224 778,1 633 460
76,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Фиксики. Большой секрет,https://ekinobilet.fond-kino.ru/films/detail/114002517,"АО ""АЭРОПЛАН""",28.10.2017,20 000 000,50 000 000,31.9%,219 398 491,418 327 846,2 119 786
77,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Миллиард,https://ekinobilet.fond-kino.ru/films/detail/111006719,"ООО ""ЦЕНТРАЛ ПАРТНЕРШИП""",18.04.2019,-,140 000 000,58.3%,240 041 307,408 985 575,1 537 769
78,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Первый на Олимпе,https://ekinobilet.fond-kino.ru/films/detail/111041125,"ООО ""ЦЕНТРАЛ ПАРТНЕРШИП""",09.10.2025,-,470 000 000,58.8%,800 000 000,401 853 043,990 847
79,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Злой город,https://ekinobilet.fond-kino.ru/films/detail/111047524,"ООО ""РБ ПРОДАКШН""",30.01.2025,-,300 000 000,26.5%,1 130 000 000,394 298 389,976 265
80,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Непрощенный,https://ekinobilet.fond-kino.ru/films/detail/111016018,"ООО ""КИНОКОМПАНИЯ БОЛЬШОЕ КИНО""",27.09.2018,-,40 000 000,48.5%,82 496 889,393 683 939,1 632 737
81,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Битва за Севастополь,https://ekinobilet.fond-kino.ru/films/detail/111001415,"ООО ""КИНОКОМПАНИЯ ""НОВЫЕ ЛЮДИ""",02.04.2015,-,27 510 000,21.0%,131 000 000,393 176 390,1 756 956
82,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,О чем говорят мужчины. Продолжение,https://ekinobilet.fond-kino.ru/films/detail/111000918,"ООО ""КИНОКОМПАНИЯ ""СТВ""",22.02.2018,-,50 000 000,45.6%,109 609 029,389 928 769,1 346 908
83,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Фиксики против кработов,https://ekinobilet.fond-kino.ru/films/detail/114004819,"АО ""АЭРОПЛАН""",21.12.2019,80 000 000,40 000 000,44.4%,270 000 000,388 979 545,1 840 931
84,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Чернобыль,https://ekinobilet.fond-kino.ru/films/detail/111016320,"ООО ""НОН-СТОП ПРОДАКШН""",15.04.2021,100 000 000,300 000 000,63.6%,628 671 404,376 569 661,1 397 319
85,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,28 Панфиловцев,https://ekinobilet.fond-kino.ru/films/detail/111000916,"ООО ""СТУДИЯ ""28 ПАНФИЛОВЦЕВ""",24.11.2016,-,30 000 000,35.1%,85 384 000,367 247 102,1 597 694
86,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Призрак,https://ekinobilet.fond-kino.ru/films/detail/111001815,"ООО ""КИНОКОМПАНИЯ ""СТВ""",26.03.2015,-,75 000 000,53.7%,139 551 503,365 160 741,1 626 752
87,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Дуэлянт,https://ekinobilet.fond-kino.ru/films/detail/111015416,"ООО ""НОН-СТОП ПРОДАКШН""",29.09.2016,150 000 000,300 000 000,65.8%,684 200 536,364 934 151,1 358 255
88,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Одна,https://ekinobilet.fond-kino.ru/films/detail/111010922,"ООО ""ССБ КИНО""",09.06.2022,-,30 000 000,25.0%,120 121 813,356 548 927,1 243 185
89,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Стрельцов,https://ekinobilet.fond-kino.ru/films/detail/111007620,"ООО ""ТПО ""РОК""",24.09.2020,40 000 000,160 000 000,60.6%,330 000 000,355 579 097,1 425 912
90,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Красавица,https://ekinobilet.fond-kino.ru/films/detail/111004026,"ООО ""ПРОСПЕКТ МИРА""",19.02.2026,-,100 000 000,22.2%,450 000 000,348 742 891,851 482
91,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Пальма,https://ekinobilet.fond-kino.ru/films/detail/111023220,"ООО ""МАРС МЕДИА ЭНТЕРТЕЙНМЕНТ""",18.03.2021,30 000 000,25 000 000,50.0%,110 000 000,346 596 808,1 581 260
92,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Конь Юлий и большие скачки,https://ekinobilet.fond-kino.ru/films/detail/114002120,"ООО ""КИНОКОМПАНИЯ ""СТВ""",31.12.2020,120 000 000,-,67.1%,178 952 138,344 166 904,1 362 323
93,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Крым,https://ekinobilet.fond-kino.ru/films/detail/111002017,"ООО ""ПИМАНОВ И ПАРТНЕРЫ""",28.09.2017,20 000 000,30 123 915,22.5%,222 513 841,344 027 378,1 484 816
94,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Мира,https://ekinobilet.fond-kino.ru/films/detail/111032322,"ООО ""МАРС МЕДИА ЭНТЕРТЕЙНМЕНТ""",22.12.2022,-,250 000 000,47.1%,531 200 000,342 185 106,1 073 526
95,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Ледокол,https://ekinobilet.fond-kino.ru/films/detail/111016316,"ООО ""ПРОФИТ""",20.10.2016,100 000 000,200 000 000,69.8%,430 000 000,339 233 256,1 422 691
96,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Финник 2,https://ekinobilet.fond-kino.ru/films/detail/114008025,"ООО ""ПРОДЮСЕРСКИЙ ЦЕНТР ""РИКИ""",23.10.2025,-,185 000 000,44.7%,414 000 000,337 776 768,953 350
97,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Кухня. Последняя битва,https://ekinobilet.fond-kino.ru/films/detail/111001517,"ООО ""ФИЛЬМЫ НАВСЕГДА МЕДИА""",20.04.2017,50 000 000,-,30.7%,162 630 398,334 853 396,1 349 393
98,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Нюрнберг,https://ekinobilet.fond-kino.ru/films/detail/111001023,"ООО ""ПРОДЮСЕРСКИЙ ЦЕНТР ""СИНЕМА ПРОДАКШН""",02.03.2023,-,445 000 000,66.0%,674 300 000,334 596 083,1 121 161
99,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Тайна печати дракона,https://ekinobilet.fond-kino.ru/films/detail/111012819,"ООО ""РФГ КОРП""",12.09.2019,180 000 000,90 000 000,11.7%,2 305 074 303,333 819 999,1 282 517
100,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Артек. Большое путешествие,https://ekinobilet.fond-kino.ru/films/detail/111004321,"ООО ""ФРЕШ-ФИЛЬМ""",28.04.2022,-,40 000 000,32.0%,125 000 000,328 437 953,1 339 368
101,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Водитель-олигарх,https://ekinobilet.fond-kino.ru/films/detail/111006624,"ООО ""ПИМАНОВ И ПАРТНЕРЫ""",18.07.2024,-,100 000 000,53.3%,187 597 635,319 488 372,908 685
102,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Мистер Нокаут,https://ekinobilet.fond-kino.ru/films/detail/111003022,"ООО ""КИНОДОМ""",23.02.2022,-,60 000 000,40.0%,150 000 000,316 692 247,1 115 794
103,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Прабабушка лёгкого поведения,https://ekinobilet.fond-kino.ru/films/detail/111007721,"ООО ""ВАЙС ФИЛМС""",06.05.2021,-,30 000 000,21.1%,142 387 102,314 024 734,1 113 407
