r-table__text,movie-rating__financing-source src,fixed-column,r-table__text href,r-table__text 3,r-table__text 4,r-table__text 5,r-table__text 6,r-table__text 7,r-table__text 8,r-table__text 9,r-table__text 10
578,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Вакантна жизнь шеф-повара,https://ekinobilet.fond-kino.ru/films/detail/111011515,"ООО ""ВГИК-ДЕБЮТ""",10.03.2016,-,20 000 000,70.0%,28 571 429,1 631 729,6 716
579,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Ничья,https://ekinobilet.fond-kino.ru/films/detail/111016421,"ООО ""КИНОКОМПАНИЯ ""СТВ""",30.09.2021,-,25 000 000,66.2%,37 750 000,1 622 654,6 122
580,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Тайна,https://ekinobilet.fond-kino.ru/films/detail/111017920,"ООО ""ФЁРСТ ФИЛМС""",20.01.2022,-,35 000 000,35.0%,100 000 000,1 592 769,6 805
581,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,В Кейптаунском порту...,https://ekinobilet.fond-kino.ru/films/detail/111026018,"ООО ""РЕНОВАЦИО ИНТЕРТЕЙНМЕНТ""",29.08.2019,-,35 000 000,29.2%,120 000 000,1 590 918,7 131
582,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Большая поэзия,https://ekinobilet.fond-kino.ru/films/detail/111008819,"ООО ""МАСТЕРСКАЯ ПАВЛА ЛУНГИНА""",28.11.2019,-,25 000 000,61.0%,41 000 000,1 541 772,6 194
583,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Исповедь Z@drota,https://ekinobilet.fond-kino.ru/films/detail/111014214,"ООО ""МАРС МЕДИА ЭНТЕРТЕЙНМЕНТ""",10.03.2016,-,27 000 000,52.7%,51 196 711,1 531 320,6 460
584,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Смотри как я,https://ekinobilet.fond-kino.ru/films/detail/111008520,"ООО ""ГРАМАНИ ФИЛЬМ""",17.09.2020,-,25 000 000,65.0%,38 461 539,1 451 067,12 891
585,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Облепиховое лето,https://ekinobilet.fond-kino.ru/films/detail/111011618,"ООО ""КИНО-АРТ""",15.11.2018,-,25 000 000,66.0%,37 878 787,1 450 913,7 147
586,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Танец с саблями,https://ekinobilet.fond-kino.ru/films/detail/111008619,"ООО ""МАРС МЕДИА ЭНТЕРТЕЙНМЕНТ""",30.01.2020,-,40 000 000,65.0%,61 571 449,1 411 153,4 710
587,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Плотник,https://ekinobilet.fond-kino.ru/films/detail/111019822,"ООО ""ХАЙП ФИЛЬМ""",27.10.2022,-,60 000 000,60.0%,100 000 000,1 398 365,4 098
