название,дистрибьютор,дата_старта,тотал_экраны,тотал_сбор,тотал_зритель,тотал_наработка,сбор_чт,множ_чт,премьерный_уикенд_экраны,премьерный_уикенд_сбор,премьерный_уикенд_зритель,премьерный_уикенд_наработка,второй_уикенд_сбор,второй_уикенд_зритель,второй_уикенд_падение,превью_сбор,превью_дни,жанр,страна
МУЛЬТ В КИНО. ВЫПУСК № 58,MVK,14.09.17,581,"3,4 млн",30 тыс,"5,9 тыс",,,581,"1,7 млн",14 тыс,"2,9 тыс","1,5 млн",13 тыс,12.25,,,анимация,RUONLY
"ДА, ШЕФ!",RFLF,14.09.17,6,54 тыс,167,"9,0 тыс",,,6,54 тыс,167,"9,0 тыс",,,,,,документальный,RUONLY
ГОГОЛЬ. НАЧАЛО,CRP,31.08.17,1407,455 млн,"1,9 млн",323 тыс,55 млн,0.25,1397,220 млн,872 тыс,158 тыс,82 млн,323 тыс,62.56,,,"приключения, триллер, детектив",RUONLY
ПРО ЛЮБОВЬ. ТОЛЬКО ДЛЯ ВЗРОСЛЫХ,WDSSPR,31.08.17,792,122 млн,466 тыс,155 тыс,,,792,37 млн,128 тыс,47 тыс,29 млн,102 тыс,23.45,"2,8 млн",ЧТ - ВС,комедия,RUONLY
БАБУШКА ЛЕГКОГО ПОВЕДЕНИЯ,CRP,17.08.17,1189,348 млн,"1,5 млн",293 тыс,29 млн,0.22,1179,130 млн,524 тыс,110 тыс,74 млн,299 тыс,43.04,,,комедия,RUONLY
ГРАФОМАФИЯ,PRD,17.08.17,80,214 тыс,"1,4 тыс","2,7 тыс",,,80,98 тыс,529,"1,2 тыс",33 тыс,239,66.4,,,комедия,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 57,MVK,17.08.17,563,"5,3 млн",49 тыс,"9,4 тыс",,,538,"1,5 млн",12 тыс,"2,7 тыс","1,3 млн",12 тыс,12.34,,,анимация,RUONLY
АЙСЫЛУ. ФИЛЬМ,SMKT,17.08.17,5,251 тыс,"2,2 тыс",50 тыс,,,5,75 тыс,376,15 тыс,,,,,,драма,RUONLY
РЕВЕРБЕРАЦИЯ,AKM,10.08.17,1,"3,0 тыс",15,"3,0 тыс",,,1,"3,0 тыс",15,"3,0 тыс",,,,,,"комедия, драма",RUONLY
ТЕСНОТА,PNR,03.08.17,120,"5,7 млн",21 тыс,47 тыс,,,120,"1,7 млн","6,0 тыс",14 тыс,819 тыс,"3,0 тыс",52.62,,,драма,RUONLY
ВЫХОД,RFLF,27.07.17,12,785 тыс,"3,1 тыс",65 тыс,,,12,430 тыс,"1,2 тыс",36 тыс,,,,,,документальный,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 56,MVK,20.07.17,528,"5,8 млн",54 тыс,11 тыс,,,528,"1,3 млн",11 тыс,"2,4 тыс","1,0 млн","9,4 тыс",19.45,,,анимация,RUONLY
БЛОКБАСТЕР,VLG,13.07.17,370,11 млн,45 тыс,30 тыс,"1,1 млн",0.19,370,"5,9 млн",21 тыс,16 тыс,"1,5 млн","5,7 тыс",74.91,,,"комедия, криминал",RUONLY
