st_id,st_name_ru,st_name_en,st_distrib,st_distrib_idx,st_date_start,st_date_real,st_prev_start,st_prev_end,st_prev_adm,st_prev_box,st_thursday_box,st_thursday_adm,st_thursday_copy,st_1wd_box,st_1wd_adm,st_1wd_copy,st_2wd_box,st_2wd_adm,st_total_box,st_total_adm,st_total_copy,st_genre,st_genre_idx,st_country,st_country_idx,st_rel_id,st_thu_ratio,st_2wd_change,st_1wd_avg,st_total_avg
29198460,БРЕМЕНСКИЕ МУЗЫКАНТЫ,,"<a href=""/distributor/show/id/CP"" target=""_blank"">CP</a>",",8,",2024-01-04,2024-01-01,ЧТ - ВС,ВС,693,367 тыс,,0,0,"1,8 млрд","4,7 млн",2322,315 млн,899 тыс,"3,1 млрд","8,7 млн",2322,сказка,",27,",RUONLY,",6,",49322,&nbsp;,82.51,775 тыс,"1,3 млн"
29198613,АДА,,"<a href=""/distributor/show/id/KAP"" target=""_blank"">KAP</a>",",588,",2024-01-04,2024-01-04,&nbsp;,946684800,0,&nbsp;,,0,0,806 тыс,"1,7 тыс",47,&nbsp;,&nbsp;,"1,7 млн","4,4 тыс",47,драма,",10,",RUONLY,",6,",49815,&nbsp;,&nbsp;,17 тыс,35 тыс
29197997,ВЕЛИКОЛЕПНАЯ ПЯТЕРКА,,"<a href=""/distributor/show/id/NKI"" target=""_blank"">NKI</a>",",17,",2023-12-28,2023-12-28,&nbsp;,946684800,0,&nbsp;,,0,0,17 млн,63 тыс,2030,32 млн,103 тыс,96 млн,312 тыс,2030,анимация,",7,",RUONLY,",6,",47664,&nbsp;,-85.35,"8,6 тыс",47 тыс
29198009,МУЛЬТ В КИНО. ВЫПУСК № 164. В НОВЫЙ ГОД ИГРАЮЧИ!,,"<a href=""/distributor/show/id/MVK"" target=""_blank"">MVK</a>",",214,",2023-12-28,2023-12-30,&nbsp;,946684800,0,&nbsp;,,0,0,410 тыс,"2,7 тыс",298,"1,8 млн","9,8 тыс","4,6 млн",26 тыс,337,анимация,",7,",RUONLY,",6,",47717,&nbsp;,-343.97,"1,4 тыс",14 тыс
29198221,ТРИ БОГАТЫРЯ И ПУП ЗЕМЛИ,,"<a href=""/distributor/show/id/VLG"" target=""_blank"">VLG</a>",",26,",2023-12-28,2023-12-28,ПН - СР,СР,4238,"1,4 млн",,0,0,158 млн,544 тыс,2376,327 млн,937 тыс,"1,2 млрд","3,7 млн",2387,анимация,",7,",RUONLY,",6,",48521,&nbsp;,-107.22,66 тыс,493 тыс
29198738,ЩЕЛКУНЧИК,,"<a href=""/distributor/show/id/KAP"" target=""_blank"">KAP</a>",",588,",2023-12-28,2023-12-26,&nbsp;,946684800,0,&nbsp;,,0,0,"1,7 млн","3,7 тыс",125,873 тыс,"1,9 тыс","5,7 млн",11 тыс,125,спектакль,",29,",RUONLY,",6,",50323,&nbsp;,47.96,13 тыс,46 тыс
29198340,ВРЕДНАЯ ПРИВЫЧКА,,"<a href=""/distributor/show/id/NMG"" target=""_blank"">NMG</a>",",598,",2023-12-21,2023-12-21,&nbsp;,946684800,0,&nbsp;,,0,0,18 млн,55 тыс,1727,"7,9 млн",26 тыс,40 млн,127 тыс,1727,комедия,",4,",RUONLY,",6,",48946,&nbsp;,56.55,11 тыс,23 тыс
29198579,НОВОГОДНИЙ ОЛ ИНКЛЮЗИВ,,"<a href=""/distributor/show/id/AK"" target=""_blank"">AK</a>",",587,",2023-12-21,2023-12-21,ПН - СР,СР,189,71 тыс,,0,0,24 млн,72 тыс,1441,16 млн,51 тыс,60 млн,185 тыс,1441,"комедия, семейный",",4,11,",RUONLY,",6,",49706,&nbsp;,31.97,17 тыс,42 тыс
29198732,ШМЯК. ВОЛШЕБНАЯ ЛАВКА ЕСЕНИИ,,"<a href=""/distributor/show/id/TNL"" target=""_blank"">TNL</a>",",460,",2023-12-21,2023-12-21,&nbsp;,946684800,0,&nbsp;,,0,0,259 тыс,"1,3 тыс",119,&nbsp;,&nbsp;,370 тыс,"2,0 тыс",119,"анимация, семейный",",7,11,",RUONLY,",6,",50298,&nbsp;,&nbsp;,"2,2 тыс","3,1 тыс"
29198768,ЗИНА & ЛЕХА 2. НОВОГОДНИЙ МАСКАРАД,,SMKT,",155,",2023-12-21,2023-12-21,&nbsp;,946684800,0,&nbsp;,,0,0,647 тыс,"1,6 тыс",4,654 тыс,"1,9 тыс",12 млн,36 тыс,31,комедия,",4,",RUONLY,",6,",50442,&nbsp;,-1.13,162 тыс,386 тыс
29198075,МАНЮНЯ: НОВОГОДНИЕ ПРИКЛЮЧЕНИЯ,,"<a href=""/distributor/show/id/NMG"" target=""_blank"">NMG</a>",",598,",2023-12-14,2023-12-14,ПН - СР,СР,3108,931 тыс,,0,0,71 млн,252 тыс,1731,52 млн,188 тыс,277 млн,956 тыс,1731,"комедия, приключения, семейный",",4,6,11,",RUONLY,",6,",47937,&nbsp;,26.7,41 тыс,160 тыс
29198245,НОВОГОДНИЙ ШЕФ,,"<a href=""/distributor/show/id/NKI"" target=""_blank"">NKI</a>",",17,",2023-12-14,2023-12-14,&nbsp;,946684800,0,&nbsp;,,0,0,30 млн,91 тыс,1665,14 млн,45 тыс,65 млн,213 тыс,1699,комедия,",4,",RUONLY,",6,",48621,&nbsp;,55.18,18 тыс,38 тыс
